AllTrace
Swept SA
A.27.05,N9030B
550 B1X B1Y B25 B40 DP2 DP4 EP1 FS1 FS2 FSA LFE MPB NF2 NUL P50 PFR RTL RTS RT1 ESC FT1 RCL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,100000000
Stop Frequency,1000000000
Average Count,0
Average Type,LogPower(Video)
RBW,1000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold,Maxhold,Maxhold,Clearwrite,Clearwrite,Clearwrite
Detector,Peak,Peak,Peak,Normal,Normal,Normal
Trace Math,Off,Off,Off,Off,Off,Off
Trace Math Oper1,Trace5,Trace6,Trace1,Trace2,Trace3,Trace4
Trace Math Oper2,Trace6,Trace1,Trace2,Trace3,Trace4,Trace5
Trace Math Offset,0,0,0,0,0,0
Normalize,Off
Trace Name,Trace1,Trace2,Trace3,Trace4,Trace5,Trace6
X Axis Units,Hz
Y Axis Units,dBuV
DATA
100000000,99.9427850653328,99.951604645411,99.9427850653328,-893.01029995664,-893.01029995664,-893.01029995664
100900000,99.9430442271676,99.9489236293282,99.9489236293282,-893.01029995664,-893.01029995664,-893.01029995664
101800000,99.9462430900826,99.9491827911629,99.9521224922432,-893.01029995664,-893.01029995664,-893.01029995664
102700000,99.9494419529976,99.9553213551583,99.952381654078,-893.01029995664,-893.01029995664,-893.01029995664
103600000,99.9526403390755,99.955580516993,99.9526403390755,-893.01029995664,-893.01029995664,-893.01029995664
104500000,99.9470200987496,99.9587789030709,99.9558392019906,-893.01029995664,-893.01029995664,-893.01029995664
105400000,99.953158662745,99.9560983638253,99.9590380649056,-893.01029995664,-893.01029995664,-893.01029995664
106300000,99.95635752566,99.9592972267403,99.95635752566,-893.01029995664,-893.01029995664,-893.01029995664
107200000,99.9566162106576,99.9595559117379,99.9595559117379,-893.01029995664,-893.01029995664,-893.01029995664
108100000,99.9598150735726,99.9561405664315,99.9627547746529,-893.01029995664,-893.01029995664,-893.01029995664
109000000,99.957134534327,99.9630139364876,99.9630139364876,-893.01029995664,-893.01029995664,-893.01029995664
109900000,99.9573932193245,99.9662127994027,99.9632730983223,-893.01029995664,-893.01029995664,-893.01029995664
110800000,99.9635317833199,99.9664714844002,99.9664714844002,-893.01029995664,-893.01029995664,-893.01029995664
111700000,99.9608512440743,99.9696703473153,99.9637909451546,-893.01029995664,-893.01029995664,-893.01029995664
112600000,99.9640501069893,99.9728692102303,99.96992950915,-893.01029995664,-893.01029995664,-893.01029995664
113500000,99.9701886709847,99.9701886709847,99.973128372065,-893.01029995664,-893.01029995664,-893.01029995664
114400000,99.9722607676949,99.9752004687752,99.9722607676949,-893.01029995664,-893.01029995664,-893.01029995664
115300000,99.9705892158761,99.979408319117,99.9764686180367,-893.01029995664,-893.01029995664,-893.01029995664
116200000,99.9747965893807,99.9806764683785,99.977736290461,-893.01029995664,-893.01029995664,-893.01029995664
117100000,99.9760647386422,99.9819441408028,99.9790044397225,-893.01029995664,-893.01029995664,-893.01029995664
118000000,99.9773324110665,99.9832122900643,99.9832122900643,-893.01029995664,-893.01029995664,-893.01029995664
118900000,99.9844799624886,99.9874196635689,99.978600560328,-893.01029995664,-893.01029995664,-893.01029995664
119800000,99.9828084106698,99.9857481117501,99.9857481117501,-893.01029995664,-893.01029995664,-893.01029995664
120700000,99.9840760830941,99.9899554852547,99.9870157841744,-893.01029995664,-893.01029995664,-893.01029995664
121600000,99.9882839334359,99.9971030366768,99.9941633355965,-893.01029995664,-893.01029995664,-893.01029995664
122500000,99.9924913069405,100.001310887019,99.9954310080208,-893.01029995664,-893.01029995664,-893.01029995664
123400000,99.9966991572823,100.002578559443,100.002578559443,-893.01029995664,-893.01029995664,-893.01029995664
124300000,99.9979673065438,100.003846708704,100.003846708704,-893.01029995664,-893.01029995664,-893.01029995664
125200000,100.008054082209,100.008054082209,100.005114381129,-893.01029995664,-893.01029995664,-893.01029995664
126100000,100.009322231471,100.015201633631,100.012261932551,-893.01029995664,-893.01029995664,-893.01029995664
127000000,100.016469782893,100.022349185053,100.013529604975,-893.01029995664,-893.01029995664,-893.01029995664
127900000,100.017737455317,100.023616857478,100.020677156397,-893.01029995664,-893.01029995664,-893.01029995664
128800000,100.024885006739,100.024885006739,100.024885006739,-893.01029995664,-893.01029995664,-893.01029995664
129700000,100.026152679163,100.029092380244,100.029092380244,-893.01029995664,-893.01029995664,-893.01029995664
130600000,100.027420828425,100.036239931666,100.033300230586,-893.01029995664,-893.01029995664,-893.01029995664
131500000,100.034568379847,100.040447782008,100.037508080927,-893.01029995664,-893.01029995664,-893.01029995664
132400000,100.039758991572,100.042698692652,100.042698692652,-893.01029995664,-893.01029995664,-893.01029995664
133300000,100.034622264124,100.040501666285,100.043441844202,-893.01029995664,-893.01029995664,-893.01029995664
134200000,100.035365415675,100.041244817835,100.041244817835,-893.01029995664,-893.01029995664,-893.01029995664
135100000,100.033168866145,100.039048268305,100.036108567225,-893.01029995664,-893.01029995664,-893.01029995664
136000000,100.039791419856,100.039791419856,100.039791419856,-893.01029995664,-893.01029995664,-893.01029995664
136900000,100.034655169245,100.040534571406,100.037594870326,-893.01029995664,-893.01029995664,-893.01029995664
137800000,100.038338021876,100.038338021876,100.035398320795,-893.01029995664,-893.01029995664,-893.01029995664
138700000,100.033201771265,100.039081173426,100.036141472346,-893.01029995664,-893.01029995664,-893.01029995664
139600000,100.036884623896,100.036884623896,100.036884623896,-893.01029995664,-893.01029995664,-893.01029995664
140500000,100.034688074366,100.037627775446,100.031748373286,-893.01029995664,-893.01029995664,-893.01029995664
141400000,100.032491524836,100.041310628077,100.038370926997,-893.01029995664,-893.01029995664,-893.01029995664
142300000,100.033234676386,100.036174377467,100.033234676386,-893.01029995664,-893.01029995664,-893.01029995664
143200000,100.033977827937,100.036917529017,100.033977827937,-893.01029995664,-893.01029995664,-893.01029995664
144100000,100.03472050265,100.037660680567,100.037660680567,-893.01029995664,-893.01029995664,-893.01029995664
